member_casual,station_name,number_of_stations
member,Damen Ave & Chicago Ave,6141
casual,LaSalle Dr & Huron St,6136
casual,Pine Grove Ave & Irving Park Rd,6128
casual,Clark St & Chicago Ave,6077
casual,Field Blvd & South Water St,6075
member,Ogden Ave & Chicago Ave,6071
casual,Sedgwick St & Webster Ave,6011
member,Michigan Ave & 18th St,5998
casual,Michigan Ave & Madison St,5990
casual,Orleans St & Merchandise Mart Plaza,5987
casual,Sheridan Rd & Montrose Ave,5977
member,Clark St & Berwyn Ave,5974
member,Wabash Ave & 16th St,5957
member,Adler Planetarium,5947
member,Ashland Ave & Blackhawk St,5945
casual,Mies van der Rohe Way & Chicago Ave,5941
member,State St & 33rd St,5879
casual,Lincoln Ave & Diversey Pkwy,5847
member,May St & Taylor St,5826
casual,Kedzie Ave & Milwaukee Ave,5822
casual,Kingsbury St & Erie St,5820
member,Honore St & Division St,5803
member,Orleans St & Hubbard St,5799
member,Eckhart Park,5780
casual,Field Museum,5778
member,Lincoln Park Conservatory,5717
member,Jefferson St & Monroe St,5716
member,Damen Ave & Division St,5694
member,MLK Jr Dr & 29th St,5651
member,Ellis Ave & 55th St,5638
member,Fairbanks St & Superior St,5637
member,Wabash Ave & Wacker Pl,5627
member,Carpenter St & Huron St,5615
member,Wells St & Walton St,5612
member,Southport Ave & Wrightwood Ave,5602
casual,Broadway & Sheridan Rd,5597
member,Paulina Ave & North Ave,5594
member,Dusable Harbor,5589
member,Noble St & Milwaukee Ave,5571
casual,Franklin St & Lake St,5526
casual,Southport Ave & Wrightwood Ave,5522
casual,Honore St & Division St,5507
member,Sheridan Rd & Buena Ave,5497
casual,Cannon Dr & Fullerton Ave,5494
member,Michigan Ave & Pearson St,5490
casual,Sheffield Ave & Fullerton Ave,5489
member,Ada St & Washington Blvd,5448
casual,Stetson Ave & South Water St,5439
member,California Ave & Milwaukee Ave,5376
member,Sangamon St & Washington Blvd,5370
member,Broadway & Berwyn Ave,5366
casual,Clark St & Randolph St,5342
member,Calumet Ave & 18th St,5336
casual,Damen Ave & Cortland St,5323
member,Ashland Ave & Chicago Ave,5319
casual,Michigan Ave & 14th St,5291
member,Lakefront Trail & Wilson Ave,5281
member,Broadway & Argyle St,5261
casual,Wells St & Polk St,5238
casual,Sheridan Rd & Irving Park Rd,5225
casual,Wabash Ave & Adams St,5224
member,Michigan Ave & 8th St,5212
casual,Milwaukee Ave & Wabansia Ave,5205
member,Michigan Ave & Madison St,5148
member,Rush St & Hubbard St,5126
casual,California Ave & Milwaukee Ave,5104
member,Wood St & Taylor St (Temp),5090
member,Southport Ave & Clybourn Ave,5074
member,Aberdeen St & Randolph St,5072
casual,Desplaines St & Randolph St,5052
member,Kedzie Ave & Milwaukee Ave,5038
casual,Clinton St & Lake St,4994
casual,Burnham Harbor,4993
member,Southport Ave & Belmont Ave,4984
member,Dearborn St & Adams St,4972
member,Shedd Aquarium,4966
member,Larrabee St & Oak St,4961
casual,Southport Ave & Wellington Ave,4931
casual,Burling St & Diversey Pkwy,4916
casual,State St & Pearson St,4908
casual,Dayton St & North Ave,4905
casual,State St & Harrison St,4883
member,Western Ave & Winnebago Ave,4876
member,Wacker Dr & Washington St,4825
casual,Clarendon Ave & Junior Ter,4810
casual,Michigan Ave & Ida B Wells Dr,4773
member,Marine Dr & Ainslie St,4764
member,Broadway & Granville Ave,4742
casual,Greenview Ave & Fullerton Ave,4739
member,Racine Ave & Wrightwood Ave,4735
casual,Larrabee St & Division St,4691
casual,Wentworth Ave & Cermak Rd,4666
casual,Southport Ave & Belmont Ave,4664
casual,Canal St & Adams St,4659
casual,Franklin St & Chicago Ave,4657
member,Wabash Ave & Adams St,4628
member,Fort Dearborn Dr & 31st St,4600
member,Clybourn Ave & Division St,4598
member,Ashland Ave & Augusta Blvd,4564
member,DuSable Lake Shore Dr & North Blvd,4552
casual,Lakefront Trail & Wilson Ave,4547
casual,Sheffield Ave & Kingsbury St,4545
casual,Peoria St & Jackson Blvd,4536
casual,Clarendon Ave & Gordon Ter,4519
member,Larrabee St & North Ave,4487
member,Clinton St & Roosevelt Rd,4466
member,Cornell Ave & Hyde Park Blvd,4444
member,Damen Ave & Thomas St (Augusta Blvd),4429
casual,Ashland Ave & Blackhawk St,4428
casual,Damen Ave & Chicago Ave,4416
casual,Ogden Ave & Chicago Ave,4407
member,Throop St & Taylor St,4406
member,Clark St & Bryn Mawr Ave,4342
casual,Sheffield Ave & Willow St,4340
member,Ellis Ave & 58th St,4328
casual,Halsted St & Willow St,4323
casual,Clark St & Berwyn Ave,4317
casual,Orleans St & Chestnut St (NEXT Apts),4310
casual,Racine Ave & Fullerton Ave,4295
member,Western Ave & Walton St,4279
casual,Damen Ave & Division St,4274
casual,Kimbark Ave & 53rd St,4269
casual,Rush St & Hubbard St,4240
casual,Lincoln Ave & Roscoe St,4217
casual,Clinton St & Washington Blvd,4215
casual,Franklin St & Monroe St,4211
casual,Marine Dr & Ainslie St,4198
member,Financial Pl & Ida B Wells Dr,4195
casual,Larrabee St & Armitage Ave,4193
casual,Paulina Ave & North Ave,4104
member,Southport Ave & Irving Park Rd,4102
member,Franklin St & Adams St (Temp),4089
member,Western Ave & Leland Ave,4089
casual,Lincoln Ave & Belmont Ave,4082
member,State St & Van Buren St,4063
casual,Clark St & Winnemac Ave,4042
member,Lincoln Ave & Belle Plaine Ave,4039
member,Clarendon Ave & Leland Ave,4028
member,Loomis St & Jackson Blvd,4027
casual,Carpenter St & Huron St,4020
member,Canal St & Monroe St,4003
casual,Michigan Ave & 18th St,3992
member,Racine Ave & 18th St,3988
casual,Larrabee St & Kingsbury St,3985
casual,Sedgwick St & Huron St,3977
member,Wood St & Chicago Ave,3966
member,900 W Harrison St,3962
member,Broadway & Ridge Ave,3957
casual,Clifton Ave & Armitage Ave,3926
member,Ashland Ave & Wellington Ave,3911
member,Broadway & Thorndale Ave,3890
member,Walsh Park,3884
casual,Canal St & Madison St,3881
casual,Wells St & Walton St,3870
member,State St & Harrison St,3864
member,Damen Ave & Leland Ave,3863
casual,Ravenswood Ave & Lawrence Ave,3836
member,Woodlawn Ave & 55th St,3829
member,Larrabee St & Menomonee St,3823
casual,Eckhart Park,3819
member,Ravenswood Ave & Irving Park Rd,3817
casual,Ellis Ave & 60th St,3803
member,Ellis Ave & 53rd St,3802
casual,Sangamon St & Washington Blvd,3801
member,Halsted St & Maxwell St,3743
member,Greenview Ave & Diversey Pkwy,3741
member,Lake Park Ave & 56th St,3666
casual,Western Ave & Winnebago Ave,3665
casual,Calumet Ave & 18th St,3653
casual,Southport Ave & Clybourn Ave,3627
member,Clark St & Montrose Ave,3609
casual,State St & Van Buren St,3593
member,Leavitt St & North Ave,3590
member,Clark St & 9th St (AMLI),3585
member,Broadway & Wilson - Truman College Vaccination Site,3559
member,Sheridan Rd & Lawrence Ave,3554
casual,Franklin St & Adams St (Temp),3549
member,Ashland Ave & Grace St,3540
casual,Aberdeen St & Randolph St,3535
member,Lincoln Ave & Sunnyside Ave,3516
member,Dearborn St & Van Buren St,3512
casual,Ashland Ave & Chicago Ave,3479
casual,Cornell Ave & Hyde Park Blvd,3476
member,Emerald Ave & 31st St,3446
member,Lincoln Ave & Waveland Ave,3434
casual,Broadway & Argyle St,3428
casual,Clark St & Leland Ave,3410
casual,Aberdeen St & Monroe St,3359
casual,Dearborn St & Van Buren St,3349
member,Wentworth Ave & Cermak Rd,3341
member,Damen Ave & Clybourn Ave,3333
casual,Noble St & Milwaukee Ave,3332
member,Calumet Ave & 33rd St,3316
casual,Museum of Science and Industry,3314
casual,Broadway & Granville Ave,3303
member,Winthrop Ave & Lawrence Ave,3300
casual,LaSalle St & Jackson Blvd,3295
member,Delano Ct & Roosevelt Rd,3295
member,Michigan Ave & Jackson Blvd,3293
casual,Lake Park Ave & 53rd St,3290
member,Damen Ave & Charleston St,3290
casual,Ogden Ave & Race Ave,3286
member,Wolcott (Ravenswood) Ave & Montrose Ave,3272
member,Western Ave & Fillmore St,3270
member,Orleans St & Elm St,3251
member,Wood St & Augusta Blvd,3239
casual,Damen Ave & Thomas St (Augusta Blvd),3221
member,Logan Blvd & Elston Ave,3218
member,Morgan Ave & 14th Pl,3217
member,Racine Ave & Congress Pkwy,3207
casual,Sheridan Rd & Buena Ave,3195
member,Canal St & Jackson Blvd,3180
casual,Humboldt Blvd & Armitage Ave,3174
casual,Larrabee St & North Ave,3159
member,Ashland Ave & Wrightwood Ave,3152
casual,Aberdeen St & Jackson Blvd,3147
casual,Jefferson St & Monroe St,3129
member,Leavitt St & Armitage Ave,3121
casual,Wabash Ave & 16th St,3119
casual,Desplaines St & Jackson Blvd,3091
casual,LaSalle St & Washington St,3091
casual,Orleans St & Hubbard St,3053
member,Marshfield Ave & Cortland St,3033
casual,Clark St & 9th St (AMLI),3029
member,Blue Island Ave & 18th St,3027
member,Canal St & Taylor St,3025
member,Elizabeth (May) St & Fulton St,3025
member,Campbell Ave & North Ave,3022
casual,Delano Ct & Roosevelt Rd,2997
casual,University Ave & 57th St,2988
casual,DuSable Lake Shore Dr & Belmont Ave,2986
member,Lake Park Ave & 53rd St,2985
member,Blackstone Ave & Hyde Park Blvd,2980
casual,Walsh Park,2979
casual,Clinton St & Roosevelt Rd,2970
casual,Ashland Ave & Wrightwood Ave,2965
casual,Campbell Ave & North Ave,2957
casual,Racine Ave & Wrightwood Ave,2953
casual,Dearborn St & Adams St,2952
casual,DuSable Lake Shore Dr & Diversey Pkwy,2948
member,Benson Ave & Church St,2946
member,Seeley Ave & Roscoe St,2946
member,Clark St & Ida B Wells Dr,2937
casual,Western Ave & Walton St,2933
member,LaSalle St & Adams St,2931
member,Western Ave & Division St,2931
casual,Leavitt St & North Ave,2915
casual,Fairbanks St & Superior St,2908
member,Sedgwick St & Schiller St,2907
member,Leavitt St & Chicago Ave,2903
casual,DuSable Lake Shore Dr & Ohio St,2892
casual,Clarendon Ave & Leland Ave,2886
casual,Broadway & Thorndale Ave,2881
casual,Greenview Ave & Diversey Pkwy,2866
member,Ashland Ave & Grand Ave,2863
casual,Wacker Dr & Washington St,2832
casual,Ashland Ave & Grand Ave,2805
member,Racine Ave & Washington Blvd,2791
casual,Broadway & Berwyn Ave,2767
casual,Clinton St & Jackson Blvd,2765
member,Damen Ave & Wellington Ave,2754
casual,Damen Ave & Charleston St,2730
member,Racine Ave & Randolph St,2716
casual,DuSable Lake Shore Dr & Wellington Ave,2712
casual,Ashland Ave & Grace St,2711
casual,Ada St & Washington Blvd,2697
member,Leavitt St & Division St,2696
member,Humboldt Blvd & Armitage Ave,2688
member,Indiana Ave & 26th St,2656
member,California Ave & Cortez St,2653
member,Michigan Ave & Ida B Wells Dr,2628
member,DuSable Lake Shore Dr & Wellington Ave,2624
casual,Winthrop Ave & Lawrence Ave,2589
casual,Southport Ave & Irving Park Rd,2579
casual,Ellis Ave & 55th St,2567
member,Stave St & Armitage Ave,2559
member,California Ave & Altgeld St,2546
member,Sheridan Rd & Columbia Ave,2545
member,Milwaukee Ave & Rockwell St,2544
member,Chicago Ave & Washington St,2539
member,Sheridan Rd & Loyola Ave,2538
casual,Sedgwick St & Schiller St,2537
casual,Lake Park Ave & 35th St,2535
member,Halsted St & Roosevelt Rd,2533
member,California Ave & North Ave,2531
casual,Logan Blvd & Elston Ave,2529
member,Damen Ave & Grand Ave,2524
member,Ravenswood Ave & Berteau Ave,2514
member,Indiana Ave & 31st St,2509
casual,Broadway & Wilson - Truman College Vaccination Site,2508
member,California Ave & Francis Pl (Temp),2502
member,DuSable Lake Shore Dr & Belmont Ave,2487
member,Glenwood Ave & Morse Ave,2482
casual,Wood St & Chicago Ave,2467
casual,Woodlawn Ave & 55th St,2465
member,DuSable Lake Shore Dr & Diversey Pkwy,2465
casual,Broadway & Ridge Ave,2462
casual,Loomis St & Lexington St,2459
casual,Western Ave & Division St,2454
member,Kedzie Ave & Palmer Ct,2453
casual,Lake Park Ave & 56th St,2452
casual,Sheridan Rd & Loyola Ave,2445
member,Paulina St & 18th St,2444
casual,Ashland Ave & Augusta Blvd,2414
member,Rockwell St & Eastwood Ave,2412
casual,Seeley Ave & Roscoe St,2411
member,Damen Ave & Foster Ave,2398
casual,Benson Ave & Church St,2384
casual,Racine Ave & 18th St,2382
member,Cannon Dr & Fullerton Ave,2361
member,Campbell Ave & Montrose Ave,2356
casual,Halsted St & Maxwell St,2347
casual,Sheridan Rd & Lawrence Ave,2345
casual,Leavitt St & Armitage Ave,2337
member,Wood St & Hubbard St,2329
casual,Blackstone Ave & Hyde Park Blvd,2317
casual,May St & Taylor St,2308
member,State St & 35th St,2301
member,Ashland Ave & 13th St,2298
member,Albany Ave & Bloomingdale Ave,2290
member,California Ave & Division St,2267
member,Leavitt St & Belmont Ave,2254
member,Morgan St & 18th St,2228
casual,Canal St & Taylor St,2227
casual,Canal St & Monroe St,2223
casual,Financial Pl & Ida B Wells Dr,2214
casual,California Ave & North Ave,2210
casual,Clybourn Ave & Division St,2206
member,Rhodes Ave & 32nd St,2201
member,Washtenaw Ave & Lawrence Ave,2189
member,Greenview Ave & Jarvis Ave,2187
casual,Albany Ave & Bloomingdale Ave,2185
casual,Orleans St & Elm St,2184
casual,California Ave & Francis Pl (Temp),2170
member,Buckingham Fountain,2159
member,Shields Ave & 31st St,2157
casual,Stave St & Armitage Ave,2156
casual,Wood St & Augusta Blvd,2154
casual,Clark St & Bryn Mawr Ave,2150
casual,LaSalle St & Adams St,2142
casual,Damen Ave & Wellington Ave,2141
member,Damen Ave & Sunnyside Ave,2136
casual,Blue Island Ave & 18th St,2130
member,Southport Ave & Clark St,2128
casual,Chicago Ave & Sheridan Rd,2114
casual,Western Ave & Leland Ave,2111
casual,Milwaukee Ave & Rockwell St,2101
member,Sheridan Rd & Noyes St (NU),2087
casual,Kedzie Ave & Palmer Ct,2085
casual,Paulina St & Flournoy St,2084
member,DuSable Lake Shore Dr & Monroe St,2075
